Trigram,Frequency
goodwin jason bateman,43
fox named nick,43
ginnifer goodwin jason,42
big hero 6,39
fox nick wilde,38
nick wilde jason,37
wilde jason bateman,36
howard rich moore,34
named nick wilde,34
byron howard rich,32
become police officer,30
con artist fox,30
hopps ginnifer goodwin,29
song try everything,25
rabbit police officer,24
becoming police officer,23
world better place,22
hopps nick wilde,20
make world better,20
voiced ginnifer goodwin,20
first rabbit police,19
walt animation studios,19
voiced jason bateman,18
nick wilde fox,18
directed byron howard,17
hopps voiced ginnifer,16
bogo idris elba,16
jason bateman idris,16
bateman idris elba,16
godfather breaking bad,15
best animated films,15
ive ever seen,15
rabbit named hopps,14
pop culture references,14
best animated movies,14
first bunny cop,14
j k simmons,14
live together harmony,13
chief bogo idris,13
rich moore jared,13
predator prey live,12
animals live together,12
first bunny police,12
bunny police officer,12
nick wilde voiced,12
moore jared bush,12
kids adults alike,12
idris elba jenny,12
elba jenny slate,12
becomes first rabbit,11
police officer city,11
best animated feature,11
bunny named hopps,11
judge book cover,10
find missing otter,10
dreams becoming police,10
wilde voiced jason,10
frozen big hero,10
movies ive ever,10
ginnifer goodwin hopps,10
join police force,9
becoming first rabbit,9
predators prey live,9
main character hopps,9
best ive seen,9
ginnifer goodwin bunny,9
jenny slate nate,9
slate nate torrence,9
become first bunny,9
disneys best animated,9
idris elba jk,8
elba jk simmons,8
fun whole family,8
children adults alike,8
best animated year,8
first rabbit join,8
solve mysterious case,8
first rabbit officer,8
kung fu panda,8
jason bateman nick,8
prey live together,8
best animated 2016,8
fox con artist,8
simmons octavia spencer,8
artist fox nick,8
nick wilde sly,8
octavia spencer alan,8
spencer alan tudyk,8
bonnie hunt lake,8
sly fox named,8
toy story 3,7
police officer no,7
prey live harmony,7
best ive ever,7
first rabbit cop,7
rabbit join police,7
assigned parking duty,7
city anthropomorphic animals,7
voice acting good,7
disneys 55th animated,7
